City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
238,Sembe,CG,1.6481,14.5806,75.51,76,58,0.98,broken clouds
239,Mumford,GH,5.2618,-0.759,80.55,84,84,5.79,broken clouds
240,Souillac,MU,-20.5167,57.5167,77.0,94,75,5.75,light rain
241,Misratah,LY,32.3754,15.0925,65.89,64,0,12.33,clear sky
242,Imeni Poliny Osipenko,RU,52.4201,136.4853,36.72,90,100,9.01,overcast clouds
243,Morrope,PE,-6.5417,-80.0111,88.0,51,0,16.11,clear sky
244,Ostrovnoy,RU,68.0531,39.5131,18.66,96,83,4.68,broken clouds
245,Glendive,US,47.1053,-104.7125,68.0,16,1,10.36,clear sky
246,Kavieng,PG,-2.5744,150.7967,81.77,80,100,6.26,overcast clouds
247,Korla,CN,41.7597,86.1469,48.52,32,100,18.99,overcast clouds
248,Saint George,US,37.1041,-113.5841,77.0,14,0,1.57,clear sky
249,Lensk,RU,60.7253,114.9278,-4.56,100,98,2.15,overcast clouds
250,Vanavara,RU,60.34,102.2797,27.01,93,100,9.93,light snow
251,Luanda,AO,-8.8368,13.2343,84.2,74,40,11.5,scattered clouds
252,Te Anau,NZ,-45.4167,167.7167,39.22,89,45,0.92,scattered clouds
253,Iglesias,IT,39.3114,8.535,61.0,94,40,13.8,scattered clouds
254,Sabang,ID,5.8933,95.3214,83.05,73,100,14.7,overcast clouds
255,Romny,UA,50.751,33.4747,38.55,94,100,12.77,overcast clouds
256,Fernley,US,39.608,-119.2518,66.0,22,7,4.14,clear sky
257,Saint-Pierre,RE,-21.3393,55.4781,77.0,88,75,19.57,light rain
258,Olafsvik,IS,64.8945,-23.7142,41.32,85,54,20.54,broken clouds
259,Rawson,AR,-43.3002,-65.1023,75.02,45,54,11.83,light rain
260,Aiken,US,33.5835,-81.5998,55.99,25,1,12.66,clear sky
261,Guiratinga,BR,-16.3494,-53.7583,86.99,49,99,2.3,overcast clouds
262,Rio Gallegos,AR,-51.6226,-69.2181,59.0,33,0,12.66,clear sky
263,Havre-Saint-Pierre,CA,50.2334,-63.5986,30.2,93,90,11.5,mist
264,Akureyri,IS,65.6835,-18.0878,46.4,49,0,32.21,clear sky
265,Cabedelo,BR,-6.9811,-34.8339,87.8,58,0,9.22,clear sky
266,Kinablangan,PH,7.6947,126.5503,77.99,85,100,4.23,moderate rain
267,Laguna,US,38.421,-121.4238,75.0,32,1,4.61,clear sky
