City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
126,Vila Do Maio,CV,2021-03-26 22:34:16,15.1333,-23.2167,68.0,73,20,25.32
127,Paamiut,GL,2021-03-26 22:34:16,61.994,-49.6678,-3.35,77,49,20.94
128,Balikpapan,ID,2021-03-26 22:34:16,-1.2675,116.8289,74.71,93,100,4.47
129,Fairbanks,US,2021-03-26 22:30:04,64.8378,-147.7164,27.0,74,90,6.91
130,Upernavik,GL,2021-03-26 22:34:17,72.7868,-56.1549,-32.64,85,7,3.74
131,Mar Del Plata,AR,2021-03-26 22:30:00,-38.0023,-57.5575,64.99,94,90,23.02
132,Qui Nhon,VN,2021-03-26 22:34:17,13.7667,109.2333,74.7,88,90,1.95
133,Tasiilaq,GL,2021-03-26 22:31:21,65.6145,-37.6368,5.0,56,75,10.36
134,Kieta,PG,2021-03-26 22:34:18,-6.2167,155.6333,82.72,80,99,7.05
135,Batemans Bay,AU,2021-03-26 22:34:18,-35.7167,150.1833,64.99,78,4,1.01
136,Westport,US,2021-03-26 22:34:18,41.1415,-73.3579,73.4,33,1,24.16
137,Hithadhoo,MV,2021-03-26 22:34:19,-0.6,73.0833,82.53,70,72,7.31
138,Damietta,EG,2021-03-26 22:34:19,31.4165,31.8133,55.4,62,40,12.66
139,Jinka,ET,2021-03-26 22:34:20,5.65,36.65,66.97,33,70,2.17
140,Vostok,RU,2021-03-26 22:34:20,46.4856,135.8833,31.78,78,100,4.23
141,Lebu,CL,2021-03-26 22:34:20,-37.6167,-73.65,56.21,74,0,19.46
142,Viedma,AR,2021-03-26 22:30:25,-40.8135,-62.9967,57.99,49,71,7.87
143,Lagoa,PT,2021-03-26 22:31:35,39.05,-27.9833,56.84,61,38,7.16
144,Qaanaaq,GL,2021-03-26 22:31:22,77.484,-69.3632,-8.97,64,100,4.74
145,Eirunepe,BR,2021-03-26 22:34:21,-6.6603,-69.8736,75.18,95,80,2.26
146,Muros,ES,2021-03-26 22:34:21,42.7762,-9.0603,45.0,88,49,9.91
147,Taonan,CN,2021-03-26 22:34:22,45.3333,122.7833,43.11,50,0,5.53
148,Yishui,CN,2021-03-26 22:34:22,35.7847,118.6281,51.13,89,100,6.96
149,Linqiong,CN,2021-03-26 22:34:22,30.4159,103.4609,55.4,94,0,4.47
150,Norman Wells,CA,2021-03-26 22:34:23,65.282,-126.8329,32.0,43,75,10.83
151,Kholmskaya,RU,2021-03-26 22:34:23,44.846,38.389,37.99,80,96,1.59
152,Beaufort,MY,2021-03-26 22:34:24,5.3473,115.7455,77.0,100,20,2.37
153,Barrow,US,2021-03-26 22:31:05,71.2906,-156.7887,-11.2,84,20,3.44
154,Rio Grande,BR,2021-03-26 22:34:15,-32.035,-52.0986,73.0,95,100,6.15
155,Waddan,LY,2021-03-26 22:34:24,29.1614,16.139,53.89,53,4,10.18
156,Tuatapere,NZ,2021-03-26 22:33:51,-46.1333,167.6833,62.01,74,100,7.0
157,Hirara,JP,2021-03-26 22:34:25,24.8,125.2833,73.4,94,75,12.66
158,Dikson,RU,2021-03-26 22:34:25,73.5069,80.5464,-12.86,100,100,10.02
159,Nome,US,2021-03-26 22:34:25,64.5011,-165.4064,12.99,79,90,11.5
160,Souillac,MU,2021-03-26 22:33:09,-20.5167,57.5167,77.0,88,20,3.44
161,Port Blair,IN,2021-03-26 22:31:45,11.6667,92.75,81.95,73,90,8.43
162,Gardenstown,GB,2021-03-26 22:34:26,57.671,-2.336,37.99,69,24,9.91
163,Berbera,SO,2021-03-26 22:34:26,10.4396,45.0143,76.08,75,67,0.69
164,Nikolskoye,RU,2021-03-26 22:34:27,59.7035,30.7861,34.0,93,40,2.24
165,Cayenne,GF,2021-03-26 22:30:11,4.9333,-52.3333,81.0,78,40,10.36
166,Mahebourg,MU,2021-03-26 22:31:40,-20.4081,57.7,77.0,88,20,3.44
167,Senador Jose Porfirio,BR,2021-03-26 22:34:27,-2.5908,-51.9542,75.15,93,83,3.78
168,Aswan,EG,2021-03-26 22:34:28,24.0934,32.907,62.98,30,3,17.02
169,Kangaba,ML,2021-03-26 22:34:28,11.9333,-8.4167,83.61,14,47,5.19
170,Stokmarknes,NO,2021-03-26 22:31:06,68.5646,14.9108,36.0,66,94,32.99
171,Muscat,OM,2021-03-26 22:34:29,23.6139,58.5922,73.4,73,0,3.44
172,Mendota,US,2021-03-26 22:34:29,36.7536,-120.3816,68.0,32,1,4.61
173,Saint-Prosper,CA,2021-03-26 22:34:29,46.2117,-70.4811,44.6,93,100,3.44
174,Formiga,BR,2021-03-26 22:34:30,-20.4644,-45.4264,68.34,82,72,2.91
175,Aureliana,PH,2021-03-26 22:34:30,10.8885,121.978,79.9,73,99,4.63
176,Nosy Varika,MG,2021-03-26 22:34:30,-20.5833,48.5333,74.1,92,38,3.4
177,Nishihara,JP,2021-03-26 22:34:31,26.1842,127.7558,69.8,78,20,12.66
178,Sterling,US,2021-03-26 22:31:03,39.0062,-77.4286,73.4,33,20,20.71
179,Ola,RU,2021-03-26 22:34:31,59.5833,151.2833,0.81,89,50,3.6
180,Saint-Philippe,RE,2021-03-26 22:31:46,-21.3585,55.7679,77.0,78,0,5.75
181,Port Hedland,AU,2021-03-26 22:33:29,-20.3167,118.5667,77.0,94,0,6.91
182,Hatton,LK,2021-03-26 22:34:32,6.8916,80.5955,61.0,81,100,3.47
183,Ponta Do Sol,PT,2021-03-26 22:33:35,32.6667,-17.1,64.4,94,40,9.22
184,Latung,PH,2021-03-26 22:34:32,5.5,120.8833,81.37,76,73,1.57
185,Guanare,VE,2021-03-26 22:34:33,9.0418,-69.7421,81.84,54,56,4.12
186,Middlesbrough,GB,2021-03-26 22:34:33,54.5762,-1.2348,39.99,79,12,11.01
187,Eston,CA,2021-03-26 22:34:33,51.1501,-108.7514,37.4,60,75,12.66
188,Edelira,PY,2021-03-26 22:34:34,-26.75,-55.2667,75.97,73,100,5.21
189,Okhotsk,RU,2021-03-26 22:34:34,59.3833,143.3,0.01,88,37,7.0
190,Hambantota,LK,2021-03-26 22:32:31,6.1241,81.1185,78.71,83,100,9.98
191,Mareeba,AU,2021-03-26 22:34:34,-17.0,145.4333,82.4,78,69,5.75
192,Igarka,RU,2021-03-26 22:34:35,67.4667,86.5833,24.85,95,99,13.71
193,Esperance,AU,2021-03-26 22:34:33,-33.8667,121.9,53.6,87,0,12.66
194,Olden,NO,2021-03-26 22:34:35,61.8364,6.8064,42.8,75,75,17.27
195,Kapaa,US,2021-03-26 22:32:45,22.0752,-159.319,79.0,78,1,8.05
196,Paragominas,BR,2021-03-26 22:34:36,-2.9667,-47.4833,71.67,98,71,3.15
197,Vardo,NO,2021-03-26 22:33:40,70.3705,31.1107,26.6,74,88,18.41
198,Bure,ET,2021-03-26 22:34:36,10.7,37.0667,65.21,23,13,1.88
199,San Policarpo,PH,2021-03-26 22:33:48,12.1791,125.5072,79.99,82,76,11.68
200,San Cristobal,VE,2021-03-26 22:34:37,7.7669,-72.225,71.6,100,75,2.3
201,Broome,US,2021-03-26 22:34:37,42.2506,-75.833,46.4,71,90,17.27
202,Kaitangata,NZ,2021-03-26 22:31:16,-46.2817,169.8464,63.0,72,90,1.01
203,Avera,US,2021-03-26 22:32:36,33.194,-82.5271,69.8,87,90,5.7
204,Klaksvik,FO,2021-03-26 22:33:39,62.2266,-6.589,37.4,48,40,25.32
205,Riohacha,CO,2021-03-26 22:34:38,11.5444,-72.9072,82.99,57,0,16.53
206,Isangel,VU,2021-03-26 22:34:38,-19.55,169.2667,83.26,69,10,6.04
207,Thompson,CA,2021-03-26 22:34:07,55.7435,-97.8558,24.8,86,90,11.5
208,Gulfport,US,2021-03-26 22:34:39,30.3674,-89.0928,77.0,83,90,6.91
209,Salinopolis,BR,2021-03-26 22:34:39,-0.6136,-47.3561,74.37,92,100,4.9
210,Lodja,CD,2021-03-26 22:34:40,-3.4833,23.4333,67.55,94,97,0.94
211,Summerland,CA,2021-03-26 22:34:40,49.5998,-119.6691,55.4,37,76,2.3
212,Kajaani,FI,2021-03-26 22:34:40,64.2273,27.7285,35.6,75,0,8.05
213,Saskylakh,RU,2021-03-26 22:33:21,71.9167,114.0833,1.9,97,99,3.13
214,Tokoroa,NZ,2021-03-26 22:34:41,-38.2333,175.8667,68.0,72,36,3.0
215,Seoul,KR,2021-03-26 22:34:41,37.5683,126.9778,48.2,76,75,1.14
216,Cabo San Lucas,MX,2021-03-26 22:33:47,22.8909,-109.9124,78.01,53,40,13.8
217,Sao Filipe,CV,2021-03-26 22:34:42,14.8961,-24.4956,70.18,76,14,15.66
218,Merauke,ID,2021-03-26 22:34:42,-8.4667,140.3333,78.22,89,100,8.86
219,Preobrazheniye,RU,2021-03-26 22:34:42,42.9019,133.9064,37.11,70,100,4.52
220,Post Falls,US,2021-03-26 22:32:42,47.718,-116.9516,48.99,49,40,13.8
221,Kimbe,PG,2021-03-26 22:34:03,-5.5502,150.1429,85.01,68,95,2.33
222,Kijang,KR,2021-03-26 22:34:43,35.2442,129.2139,46.4,81,0,3.44
223,Halifax,CA,2021-03-26 22:32:40,44.6453,-63.5724,50.0,100,100,21.85
224,Ust-Omchug,RU,2021-03-26 22:32:02,61.15,149.6333,-7.58,93,64,0.51
225,Ancud,CL,2021-03-26 22:31:17,-41.8697,-73.8203,60.8,67,0,6.91
226,Ngorongoro,TZ,2021-03-26 22:34:44,-3.2397,35.4875,51.33,89,99,5.57
227,Cap-Aux-Meules,CA,2021-03-26 22:34:44,47.3821,-61.8597,33.8,100,100,17.27
228,Kiama,AU,2021-03-26 22:34:44,-34.6833,150.8667,68.0,71,7,4.0
